ProductID,WarehouseID,ProductSupplierID,Name,Type,Description,Weight,PackagingMaterial,Price
97,3,1,Charmin Ultra Strong Toilet Paper  12 Super Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/224d0ef7-cccf-4394-bd76-8a7a7295e139.b5e944654ae3a20a609110dff85207f2.png?odnHeight=180odnWidth=180odnBg=FFFFFF,,,20.96
98,5,1,Charmin Ultra Soft Toilet Paper  12 Super Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/dc640372-cf2d-4b9e-8837-f6173f04c3ab.e07155b57754bc9b2bc1c86fe17c49e3.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,,20.96
99,5,1,Quilted Northern Ultra Plush Toilet Paper  12 Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/10b4d824-b99b-4b9e-8ae3-ff39615723b6.cd82caa48914a998b6176fe2639d7210.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,,13.63
100,0,1,Charmin Ultra Soft Toilet Paper  30 Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/f26bd181-8105-4510-9041-d86ab7f8e29f.d8f5f8619b520afb0970c2216549d433.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,,32.98
101,3,1,Angel Soft Toilet Paper  9 Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/d61b0308-6605-4117-bba7-8068bba32c52.f1bc2b998e82a7733084750492ff1d73.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,,6.36
102,5,1,Great Value Soft amp; Strong Premium Toilet Paper  24 Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/ebad8e81-0d1d-4d35-b852-27f6fdd18fb1.6ad517a8f022766be23e89e2e693dee6.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,,18.62
103,1,1,Great Value Ultra Strong Toilet Paper  6 Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/36f639be-29c1-4457-8c99-bfd43a74ac70.ddb055d6e0c8d573c5bdadd9a854e0c6.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,,7.22
104,4,1,Great Value Ultra Strong Toilet Paper  30 Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/f83e51ad-2ed3-4fcb-ac43-7e27143f3ab3.7fbdff6a5ba756115c1cd317f2940e96.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,,33.12
105,4,1,Angel Soft Toilet Paper  12 Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/59f447c9-ee28-428e-b5b1-698f6fd8dd47.27ef69f3d5b0fa50ce7b17020dc718e6.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,,7.96
106,2,1,Charmin Ultra Soft Toilet Paper  6 Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/a756079a-d9d0-4044-8a94-984c5c0af9d2.12bbb28faec766b125cecafff5da34a2.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,,8.37
107,2,1,Charmin Ultra Soft Toilet Paper  24 Mega Rolls,Toilet Paper,|https://i5.walmartimages.com/asr/a5740d47-0692-481a-b28f-a31290f28c8d.937e2f39101b51ba3ac0a66e299fe260.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,,26.48
